EmployeeNumber	Age	Attrition	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
52	36	Yes	Travel_Frequently	709	Research & Development	8	2	Life Sciences	4	Female	43	4	1	Research Director	3	Single	4060	13985	2	No	22	3	3	1	16	6	2	3	0	0	2
169	38	Yes	Travel_Frequently	1199	Research & Development	29	4	Human Resources	3	Male	42	4	2	Manager	4	Married	8124	17187	4	No	19	3	3	0	16	3	3	3	3	1	3
1469	23	No	Travel_Rarely	244	Research & Development	1	2	Other	3	Male	73	3	2	Laboratory Technician	4	Married	7496	7705	4	Yes	12	3	3	3	0	1	3	0	0	0	0
927	46	Yes	Travel_Rarely	650	Research & Development	7	1	Life Sciences	4	Male	69	3	3	Research Director	4	Married	9277	7433	2	Yes	19	3	3	0	25	4	3	11	0	0	1
423	43	Yes	Travel_Rarely	992	Research & Development	1	3	Life Sciences	3	Male	99	4	2	Research Director	3	Divorced	7630	23715	2	Yes	19	3	3	0	19	0	2	2	1	2	2
1091	52	Yes	Travel_Rarely	1276	Research & Development	2	3	Technical Degree	2	Female	68	3	2	Manager	3	Single	4523	3141	2	Yes	11	3	1	0	29	4	4	6	0	0	1
586	49	Yes	Travel_Rarely	1324	Research & Development	2	3	Life Sciences	3	Female	98	3	3	Manufacturing Director	2	Single	8541	2164	0	Yes	11	3	3	1	28	6	3	10	1	0	0
221	50	No	Travel_Frequently	316	Research & Development	15	3	Life Sciences	4	Male	45	4	2	Research Director	2	Divorced	5232	4560	1	No	12	3	3	3	27	4	3	1	1	1	1
1468	34	No	Travel_Rarely	1360	Research & Development	11	3	Life Sciences	4	Male	85	2	3	Manager	3	Married	9700	17280	3	No	20	3	4	1	10	2	3	4	1	4	4
1441	38	Yes	Non-Travel	1240	Research & Development	7	4	Life Sciences	1	Female	74	3	1	Manufacturing Director	2	Single	4956	3198	4	No	16	3	2	1	15	2	2	1	1	1	0
1147	38	No	Non-Travel	1011	Research & Development	3	3	Human Resources	3	Male	71	3	2	Research Scientist	4	Divorced	5606	2634	4	No	11	3	1	2	14	3	3	2	0	2	2
50	35	No	Travel_Rarely	913	Sales	6	2	Technical Degree	3	Male	35	2	3	Manager	4	Single	8896	13930	9	No	18	3	1	1	14	3	3	5	0	0	4
536	41	No	Travel_Rarely	427	Sales	6	3	Life Sciences	3	Female	71	3	5	Sales Executive	2	Divorced	13190	25733	1	Yes	21	3	3	1	16	4	3	16	0	3	10
176	36	Yes	Travel_Rarely	990	Research & Development	28	4	Life Sciences	2	Female	48	4	2	Laboratory Technician	1	Single	5928	14671	2	Yes	20	4	3	1	14	0	3	1	1	1	1
1076	37	No	Travel_Frequently	362	Sales	1	4	Medical	4	Female	50	4	4	Sales Representative	3	Single	12094	15535	1	No	18	3	3	0	15	5	3	10	4	1	0
406	43	Yes	Travel_Rarely	718	Human Resources	5	2	Life Sciences	1	Male	81	4	1	Human Resources	2	Single	3836	18752	6	No	17	3	2	2	20	2	2	3	0	1	3
847	19	No	Travel_Rarely	946	Research & Development	7	2	Other	4	Male	69	2	1	Laboratory Technician	1	Married	4562	4346	5	No	24	3	2	0	0	5	4	0	0	0	0
599	39	No	Travel_Frequently	323	Research & Development	1	3	Medical	1	Male	48	2	2	Manager	4	Divorced	7462	7603	2	No	25	3	4	2	20	2	3	3	0	1	0
1494	32	No	Non-Travel	825	Research & Development	29	2	Marketing	3	Female	94	3	2	Research Scientist	3	Single	7263	5628	4	No	12	3	4	2	6	0	3	1	1	0	0
939	35	No	Non-Travel	708	Sales	8	3	Life Sciences	2	Male	79	4	2	Sales Executive	3	Married	5970	20439	3	No	23	3	3	2	14	0	3	3	1	3	0
1486	37	No	Travel_Rarely	494	Research & Development	1	3	Life Sciences	2	Female	82	4	1	Manufacturing Director	1	Married	5763	7343	6	Yes	14	3	1	3	17	4	3	3	0	1	1
204	44	No	Travel_Rarely	537	Research & Development	5	3	Life Sciences	2	Male	69	3	1	Manager	4	Married	3637	26334	2	No	15	3	2	0	20	4	3	0	0	0	0
1035	37	No	Travel_Rarely	374	Sales	2	1	Life Sciences	4	Female	69	4	3	Manager	2	Divorced	8504	8292	2	No	16	3	1	3	14	0	1	7	3	1	6
298	21	No	Travel_Frequently	278	Research & Development	11	3	Life Sciences	3	Male	53	3	2	Manufacturing Director	3	Divorced	6778	4387	3	Yes	12	3	3	0	0	5	1	0	0	0	0
